task,model,dataset,n_seeds,n_points_per_cluster,proj,clustering,cluster distance,representative,k,pool size,recall,map
img2txt,clip,flickr30k,5,30,tsne (pca),hdbscan,5,medoid,10,1000,0.32,0.15
img2txt,clip,flickr30k,10,30,tsne (pca),hdbscan,5,medoid,10,1000,0.2,0.11
img2txt,clip,flickr30k,2,5,tsne (pca),hdbscan,15,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne (pca),hdbscan,15,centroid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne (pca),hdbscan,15,centroid,10,1000,0.0,0.0
img2txt,clip,flickr30k,10,5,tsne (pca),hdbscan,15,centroid,10,1000,0.24,0.09
img2txt,clip,flickr30k,2,10,tsne (pca),hdbscan,15,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne (pca),hdbscan,15,centroid,10,1000,0.08,0.06
img2txt,clip,flickr30k,5,10,tsne (pca),hdbscan,15,centroid,10,1000,0.52,0.38
img2txt,clip,flickr30k,10,10,tsne (pca),hdbscan,15,centroid,10,1000,0.08,0.06
img2txt,clip,flickr30k,2,20,tsne (pca),hdbscan,15,centroid,10,1000,0.8,0.51
img2txt,clip,flickr30k,3,20,tsne (pca),hdbscan,15,centroid,10,1000,0.6,0.29
img2txt,clip,flickr30k,5,20,tsne (pca),hdbscan,15,centroid,10,1000,0.36,0.24
img2txt,clip,flickr30k,10,20,tsne (pca),hdbscan,15,centroid,10,1000,0.2,0.15
img2txt,clip,flickr30k,2,30,tsne (pca),hdbscan,15,centroid,10,1000,0.76,0.64
img2txt,clip,flickr30k,3,30,tsne (pca),hdbscan,15,centroid,10,1000,0.6,0.4
img2txt,clip,flickr30k,5,30,tsne (pca),hdbscan,15,centroid,10,1000,0.28,0.21
img2txt,clip,flickr30k,10,30,tsne (pca),hdbscan,15,centroid,10,1000,0.24,0.12
img2txt,clip,flickr30k,2,5,tsne (pca),hdbscan,15,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne (pca),hdbscan,15,medoid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne (pca),hdbscan,15,medoid,10,1000,0.04,0.04
img2txt,clip,flickr30k,10,5,tsne (pca),hdbscan,15,medoid,10,1000,0.24,0.16
img2txt,clip,flickr30k,2,10,tsne (pca),hdbscan,15,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne (pca),hdbscan,15,medoid,10,1000,0.12,0.09
img2txt,clip,flickr30k,5,10,tsne (pca),hdbscan,15,medoid,10,1000,0.44,0.27
img2txt,clip,flickr30k,10,10,tsne (pca),hdbscan,15,medoid,10,1000,0.16,0.15
img2txt,clip,flickr30k,2,20,tsne (pca),hdbscan,15,medoid,10,1000,0.88,0.57
img2txt,clip,flickr30k,3,20,tsne (pca),hdbscan,15,medoid,10,1000,0.52,0.39
img2txt,clip,flickr30k,5,20,tsne (pca),hdbscan,15,medoid,10,1000,0.44,0.35
img2txt,clip,flickr30k,10,20,tsne (pca),hdbscan,15,medoid,10,1000,0.2,0.16
img2txt,clip,flickr30k,2,30,tsne (pca),hdbscan,15,medoid,10,1000,0.8,0.56
img2txt,clip,flickr30k,3,30,tsne (pca),hdbscan,15,medoid,10,1000,0.48,0.37
img2txt,clip,flickr30k,5,30,tsne (pca),hdbscan,15,medoid,10,1000,0.36,0.22
img2txt,clip,flickr30k,10,30,tsne (pca),hdbscan,15,medoid,10,1000,0.2,0.14
img2txt,clip,flickr30k,2,5,tsne (pca),hdbscan,25,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne (pca),hdbscan,25,centroid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne (pca),hdbscan,25,centroid,10,1000,0.08,0.02
img2txt,clip,flickr30k,10,5,tsne (pca),hdbscan,25,centroid,10,1000,0.12,0.07
img2txt,clip,flickr30k,2,10,tsne (pca),hdbscan,25,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne (pca),hdbscan,25,centroid,10,1000,0.08,0.03
img2txt,clip,flickr30k,5,10,tsne (pca),hdbscan,25,centroid,10,1000,0.4,0.28
img2txt,clip,flickr30k,10,10,tsne (pca),hdbscan,25,centroid,10,1000,0.08,0.08
img2txt,clip,flickr30k,2,20,tsne (pca),hdbscan,25,centroid,10,1000,0.76,0.6
img2txt,clip,flickr30k,3,20,tsne (pca),hdbscan,25,centroid,10,1000,0.56,0.44
img2txt,clip,flickr30k,5,20,tsne (pca),hdbscan,25,centroid,10,1000,0.28,0.13
img2txt,clip,flickr30k,10,20,tsne (pca),hdbscan,25,centroid,10,1000,0.16,0.11
img2txt,clip,flickr30k,2,30,tsne (pca),hdbscan,25,centroid,10,1000,0.8,0.6
img2txt,clip,flickr30k,3,30,tsne (pca),hdbscan,25,centroid,10,1000,0.6,0.3
img2txt,clip,flickr30k,5,30,tsne (pca),hdbscan,25,centroid,10,1000,0.44,0.25
img2txt,clip,flickr30k,10,30,tsne (pca),hdbscan,25,centroid,10,1000,0.16,0.12
img2txt,clip,flickr30k,2,5,tsne (pca),hdbscan,25,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne (pca),hdbscan,25,medoid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne (pca),hdbscan,25,medoid,10,1000,0,0
img2txt,clip,flickr30k,10,5,tsne (pca),hdbscan,25,medoid,10,1000,0.12,0.11
img2txt,clip,flickr30k,2,10,tsne (pca),hdbscan,25,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne (pca),hdbscan,25,medoid,10,1000,0.16,0.16
img2txt,clip,flickr30k,5,10,tsne (pca),hdbscan,25,medoid,10,1000,0.28,0.13
img2txt,clip,flickr30k,10,10,tsne (pca),hdbscan,25,medoid,10,1000,0.16,0.1
img2txt,clip,flickr30k,2,20,tsne (pca),hdbscan,25,medoid,10,1000,0.6,0.48
img2txt,clip,flickr30k,3,20,tsne (pca),hdbscan,25,medoid,10,1000,0.56,0.38
img2txt,clip,flickr30k,5,20,tsne (pca),hdbscan,25,medoid,10,1000,0.36,0.23
img2txt,clip,flickr30k,10,20,tsne (pca),hdbscan,25,medoid,10,1000,0.16,0.13
img2txt,clip,flickr30k,2,30,tsne (pca),hdbscan,25,medoid,10,1000,0.72,0.37
img2txt,clip,flickr30k,3,30,tsne (pca),hdbscan,25,medoid,10,1000,0.6,0.45
img2txt,clip,flickr30k,5,30,tsne (pca),hdbscan,25,medoid,10,1000,0.32,0.26
img2txt,clip,flickr30k,10,30,tsne (pca),hdbscan,25,medoid,10,1000,0.2,0.16
img2txt,clip,flickr30k,2,5,tsne (pca),hdbscan,50,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne (pca),hdbscan,50,centroid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne (pca),hdbscan,50,centroid,10,1000,0,0
img2txt,clip,flickr30k,10,5,tsne (pca),hdbscan,50,centroid,10,1000,0.08,0.06
img2txt,clip,flickr30k,2,10,tsne (pca),hdbscan,50,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne (pca),hdbscan,50,centroid,10,1000,0.2,0.08
img2txt,clip,flickr30k,5,10,tsne (pca),hdbscan,50,centroid,10,1000,0.48,0.3
img2txt,clip,flickr30k,10,10,tsne (pca),hdbscan,50,centroid,10,1000,0.08,0.08
img2txt,clip,flickr30k,2,20,tsne (pca),hdbscan,50,centroid,10,1000,0.72,0.52
img2txt,clip,flickr30k,3,20,tsne (pca),hdbscan,50,centroid,10,1000,0.76,0.39
img2txt,clip,flickr30k,5,20,tsne (pca),hdbscan,50,centroid,10,1000,0.28,0.17
img2txt,clip,flickr30k,10,20,tsne (pca),hdbscan,50,centroid,10,1000,0.28,0.18
img2txt,clip,flickr30k,2,30,tsne (pca),hdbscan,50,centroid,10,1000,0.72,0.49
img2txt,clip,flickr30k,3,30,tsne (pca),hdbscan,50,centroid,10,1000,0.6,0.4
img2txt,clip,flickr30k,5,30,tsne (pca),hdbscan,50,centroid,10,1000,0.32,0.12
img2txt,clip,flickr30k,10,30,tsne (pca),hdbscan,50,centroid,10,1000,0.12,0.06
img2txt,clip,flickr30k,2,5,tsne (pca),hdbscan,50,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne (pca),hdbscan,50,medoid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne (pca),hdbscan,50,medoid,10,1000,0,0
img2txt,clip,flickr30k,10,5,tsne (pca),hdbscan,50,medoid,10,1000,0,0
img2txt,clip,flickr30k,2,10,tsne (pca),hdbscan,50,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne (pca),hdbscan,50,medoid,10,1000,0.12,0.09
img2txt,clip,flickr30k,5,10,tsne (pca),hdbscan,50,medoid,10,1000,0.36,0.23
img2txt,clip,flickr30k,10,10,tsne (pca),hdbscan,50,medoid,10,1000,0.12,0.1
img2txt,clip,flickr30k,2,20,tsne (pca),hdbscan,50,medoid,10,1000,0.84,0.66
img2txt,clip,flickr30k,3,20,tsne (pca),hdbscan,50,medoid,10,1000,0.52,0.29
img2txt,clip,flickr30k,5,20,tsne (pca),hdbscan,50,medoid,10,1000,0.32,0.22
img2txt,clip,flickr30k,10,20,tsne (pca),hdbscan,50,medoid,10,1000,0.16,0.14
img2txt,clip,flickr30k,2,30,tsne (pca),hdbscan,50,medoid,10,1000,0.8,0.57
img2txt,clip,flickr30k,3,30,tsne (pca),hdbscan,50,medoid,10,1000,0.52,0.42
img2txt,clip,flickr30k,5,30,tsne (pca),hdbscan,50,medoid,10,1000,0.32,0.26
img2txt,clip,flickr30k,10,30,tsne (pca),hdbscan,50,medoid,10,1000,0.24,0.13
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,5,centroid,10,1000,0.92,0.47
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,5,centroid,10,1000,0.84,0.47
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,5,centroid,10,1000,0.88,0.51
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,5,centroid,10,1000,0.44,0.26
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,5,centroid,10,1000,0.92,0.51
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,5,centroid,10,1000,0.48,0.26
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,5,centroid,10,1000,0.88,0.56
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,5,centroid,10,1000,0.76,0.4
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,5,centroid,10,1000,0.64,0.44
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,5,centroid,10,1000,0.84,0.61
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,5,centroid,10,1000,0.92,0.58
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,5,centroid,10,1000,0.72,0.61
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,5,centroid,10,1000,0.96,0.61
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,5,centroid,10,1000,0.8,0.48
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,5,centroid,10,1000,0.92,0.51
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,5,centroid,10,1000,0.64,0.39
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,5,medoid,10,1000,0.8,0.47
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,5,medoid,10,1000,0.88,0.53
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,5,medoid,10,1000,0.84,0.42
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,5,medoid,10,1000,0.52,0.31
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,5,medoid,10,1000,0.88,0.45
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,5,medoid,10,1000,0.48,0.36
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,5,medoid,10,1000,0.76,0.56
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,5,medoid,10,1000,0.64,0.41
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,5,medoid,10,1000,0.72,0.45
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,5,medoid,10,1000,0.68,0.51
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,5,medoid,10,1000,0.84,0.43
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,5,medoid,10,1000,0.6,0.31
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,5,medoid,10,1000,0.8,0.54
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,5,medoid,10,1000,0.84,0.62
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,5,medoid,10,1000,0.92,0.59
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,5,medoid,10,1000,0.72,0.49
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,15,centroid,10,1000,0.8,0.43
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,15,centroid,10,1000,0.84,0.42
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,15,centroid,10,1000,0.72,0.43
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,15,centroid,10,1000,0.0,0.0
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,15,centroid,10,1000,0.92,0.6
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,15,centroid,10,1000,0.64,0.36
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,15,centroid,10,1000,0.2,0.13
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,15,centroid,10,1000,0.52,0.34
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,15,centroid,10,1000,0.56,0.28
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,15,centroid,10,1000,0.6,0.45
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,15,centroid,10,1000,0.92,0.71
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,15,centroid,10,1000,0.72,0.44
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,15,centroid,10,1000,0.68,0.53
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,15,centroid,10,1000,0.68,0.44
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,15,centroid,10,1000,0.84,0.58
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,15,centroid,10,1000,0.56,0.48
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,15,medoid,10,1000,0.84,0.4
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,15,medoid,10,1000,0.84,0.48
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,15,medoid,10,1000,0.76,0.37
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,15,medoid,10,1000,0.04,0.01
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,15,medoid,10,1000,0.84,0.4
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,15,medoid,10,1000,0.48,0.26
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,15,medoid,10,1000,0.08,0.02
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,15,medoid,10,1000,0.48,0.31
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,15,medoid,10,1000,0.4,0.28
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,15,medoid,10,1000,0.76,0.52
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,15,medoid,10,1000,0.76,0.49
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,15,medoid,10,1000,0.56,0.46
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,15,medoid,10,1000,0.6,0.45
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,15,medoid,10,1000,0.64,0.4
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,15,medoid,10,1000,0.64,0.44
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,15,medoid,10,1000,0.64,0.42
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,25,centroid,10,1000,0.92,0.52
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,25,centroid,10,1000,0.76,0.44
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,25,centroid,10,1000,0.8,0.45
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,25,centroid,10,1000,0.04,0.0
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,25,centroid,10,1000,0.8,0.34
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,25,centroid,10,1000,0.68,0.3
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,25,centroid,10,1000,0.12,0.09
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,25,centroid,10,1000,0.32,0.17
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,25,centroid,10,1000,0.36,0.24
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,25,centroid,10,1000,0.32,0.16
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,25,centroid,10,1000,0.68,0.39
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,25,centroid,10,1000,0.72,0.44
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,25,centroid,10,1000,0.56,0.38
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,25,centroid,10,1000,0.76,0.44
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,25,centroid,10,1000,0.92,0.68
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,25,centroid,10,1000,0.64,0.39
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,25,medoid,10,1000,0.76,0.44
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,25,medoid,10,1000,0.8,0.5
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,25,medoid,10,1000,0.64,0.3
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,25,medoid,10,1000,0.08,0.05
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,25,medoid,10,1000,0.88,0.39
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,25,medoid,10,1000,0.52,0.29
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,25,medoid,10,1000,0.16,0.1
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,25,medoid,10,1000,0.28,0.17
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,25,medoid,10,1000,0.4,0.21
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,25,medoid,10,1000,0.28,0.21
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,25,medoid,10,1000,0.48,0.37
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,25,medoid,10,1000,0.64,0.32
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,25,medoid,10,1000,0.56,0.41
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,25,medoid,10,1000,0.8,0.57
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,25,medoid,10,1000,0.76,0.53
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,25,medoid,10,1000,0.64,0.36
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,50,centroid,10,1000,0.88,0.44
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,50,centroid,10,1000,0.64,0.29
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,50,centroid,10,1000,0.4,0.18
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,50,centroid,10,1000,0.04,0.01
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,50,centroid,10,1000,0.88,0.48
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,50,centroid,10,1000,0.52,0.32
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,50,centroid,10,1000,0.2,0.14
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,50,centroid,10,1000,0.2,0.14
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,50,centroid,10,1000,0.4,0.22
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,50,centroid,10,1000,0.2,0.08
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,50,centroid,10,1000,0.32,0.14
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,50,centroid,10,1000,0.48,0.35
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,50,centroid,10,1000,0.48,0.19
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,50,centroid,10,1000,0.24,0.14
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,50,centroid,10,1000,0.68,0.38
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,50,centroid,10,1000,0.68,0.52
img2txt,clip,flickr30k,2,5,tsne (pca),agglomerative,50,medoid,10,1000,0.76,0.44
img2txt,clip,flickr30k,3,5,tsne (pca),agglomerative,50,medoid,10,1000,0.76,0.55
img2txt,clip,flickr30k,5,5,tsne (pca),agglomerative,50,medoid,10,1000,0.48,0.25
img2txt,clip,flickr30k,10,5,tsne (pca),agglomerative,50,medoid,10,1000,0.04,0.04
img2txt,clip,flickr30k,2,10,tsne (pca),agglomerative,50,medoid,10,1000,0.84,0.43
img2txt,clip,flickr30k,3,10,tsne (pca),agglomerative,50,medoid,10,1000,0.32,0.17
img2txt,clip,flickr30k,5,10,tsne (pca),agglomerative,50,medoid,10,1000,0.12,0.08
img2txt,clip,flickr30k,10,10,tsne (pca),agglomerative,50,medoid,10,1000,0.2,0.07
img2txt,clip,flickr30k,2,20,tsne (pca),agglomerative,50,medoid,10,1000,0.36,0.21
img2txt,clip,flickr30k,3,20,tsne (pca),agglomerative,50,medoid,10,1000,0.2,0.11
img2txt,clip,flickr30k,5,20,tsne (pca),agglomerative,50,medoid,10,1000,0.36,0.21
img2txt,clip,flickr30k,10,20,tsne (pca),agglomerative,50,medoid,10,1000,0.28,0.2
img2txt,clip,flickr30k,2,30,tsne (pca),agglomerative,50,medoid,10,1000,0.28,0.17
img2txt,clip,flickr30k,3,30,tsne (pca),agglomerative,50,medoid,10,1000,0.28,0.17
img2txt,clip,flickr30k,5,30,tsne (pca),agglomerative,50,medoid,10,1000,0.64,0.47
img2txt,clip,flickr30k,10,30,tsne (pca),agglomerative,50,medoid,10,1000,0.52,0.35
img2txt,clip,flickr30k,2,5,tsne,hdbscan,5,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne,hdbscan,5,centroid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne,hdbscan,5,centroid,10,1000,0.0,0.0
img2txt,clip,flickr30k,10,5,tsne,hdbscan,5,centroid,10,1000,0.04,0.01
img2txt,clip,flickr30k,2,10,tsne,hdbscan,5,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne,hdbscan,5,centroid,10,1000,0.28,0.17
img2txt,clip,flickr30k,5,10,tsne,hdbscan,5,centroid,10,1000,0.36,0.24
img2txt,clip,flickr30k,10,10,tsne,hdbscan,5,centroid,10,1000,0.08,0.06
img2txt,clip,flickr30k,2,20,tsne,hdbscan,5,centroid,10,1000,0.84,0.61
img2txt,clip,flickr30k,3,20,tsne,hdbscan,5,centroid,10,1000,0.68,0.51
img2txt,clip,flickr30k,5,20,tsne,hdbscan,5,centroid,10,1000,0.32,0.22
img2txt,clip,flickr30k,10,20,tsne,hdbscan,5,centroid,10,1000,0.12,0.06
img2txt,clip,flickr30k,2,30,tsne,hdbscan,5,centroid,10,1000,0.76,0.54
img2txt,clip,flickr30k,3,30,tsne,hdbscan,5,centroid,10,1000,0.6,0.45
img2txt,clip,flickr30k,5,30,tsne,hdbscan,5,centroid,10,1000,0.4,0.18
img2txt,clip,flickr30k,10,30,tsne,hdbscan,5,centroid,10,1000,0.24,0.12
img2txt,clip,flickr30k,2,5,tsne,hdbscan,5,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne,hdbscan,5,medoid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne,hdbscan,5,medoid,10,1000,0.08,0.05
img2txt,clip,flickr30k,10,5,tsne,hdbscan,5,medoid,10,1000,0.16,0.05
img2txt,clip,flickr30k,2,10,tsne,hdbscan,5,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne,hdbscan,5,medoid,10,1000,0.32,0.23
img2txt,clip,flickr30k,5,10,tsne,hdbscan,5,medoid,10,1000,0.36,0.23
img2txt,clip,flickr30k,10,10,tsne,hdbscan,5,medoid,10,1000,0.2,0.1
img2txt,clip,flickr30k,2,20,tsne,hdbscan,5,medoid,10,1000,0.8,0.62
img2txt,clip,flickr30k,3,20,tsne,hdbscan,5,medoid,10,1000,0.52,0.39
img2txt,clip,flickr30k,5,20,tsne,hdbscan,5,medoid,10,1000,0.4,0.21
img2txt,clip,flickr30k,10,20,tsne,hdbscan,5,medoid,10,1000,0.2,0.15
img2txt,clip,flickr30k,2,30,tsne,hdbscan,5,medoid,10,1000,0.52,0.35
img2txt,clip,flickr30k,3,30,tsne,hdbscan,5,medoid,10,1000,0.52,0.3
img2txt,clip,flickr30k,5,30,tsne,hdbscan,5,medoid,10,1000,0.28,0.17
img2txt,clip,flickr30k,10,30,tsne,hdbscan,5,medoid,10,1000,0.16,0.12
img2txt,clip,flickr30k,2,5,tsne,hdbscan,15,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne,hdbscan,15,centroid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne,hdbscan,15,centroid,10,1000,0.0,0.0
img2txt,clip,flickr30k,10,5,tsne,hdbscan,15,centroid,10,1000,0.12,0.06
img2txt,clip,flickr30k,2,10,tsne,hdbscan,15,centroid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne,hdbscan,15,centroid,10,1000,0.32,0.28
img2txt,clip,flickr30k,5,10,tsne,hdbscan,15,centroid,10,1000,0.28,0.23
img2txt,clip,flickr30k,10,10,tsne,hdbscan,15,centroid,10,1000,0.2,0.09
img2txt,clip,flickr30k,2,20,tsne,hdbscan,15,centroid,10,1000,0.72,0.55
img2txt,clip,flickr30k,3,20,tsne,hdbscan,15,centroid,10,1000,0.6,0.41
img2txt,clip,flickr30k,5,20,tsne,hdbscan,15,centroid,10,1000,0.36,0.27
img2txt,clip,flickr30k,10,20,tsne,hdbscan,15,centroid,10,1000,0.12,0.06
img2txt,clip,flickr30k,2,30,tsne,hdbscan,15,centroid,10,1000,0.84,0.5
img2txt,clip,flickr30k,3,30,tsne,hdbscan,15,centroid,10,1000,0.56,0.36
img2txt,clip,flickr30k,5,30,tsne,hdbscan,15,centroid,10,1000,0.44,0.21
img2txt,clip,flickr30k,10,30,tsne,hdbscan,15,centroid,10,1000,0.24,0.1
img2txt,clip,flickr30k,2,5,tsne,hdbscan,15,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,5,tsne,hdbscan,15,medoid,10,1000,0,0
img2txt,clip,flickr30k,5,5,tsne,hdbscan,15,medoid,10,1000,0,0
img2txt,clip,flickr30k,10,5,tsne,hdbscan,15,medoid,10,1000,0.16,0.13
img2txt,clip,flickr30k,2,10,tsne,hdbscan,15,medoid,10,1000,0,0
img2txt,clip,flickr30k,3,10,tsne,hdbscan,15,medoid,10,1000,0.2,0.2
img2txt,clip,flickr30k,5,10,tsne,hdbscan,15,medoid,10,1000,0.28,0.24
img2txt,clip,flickr30k,10,10,tsne,hdbscan,15,medoid,10,1000,0.24,0.12
img2txt,clip,flickr30k,2,20,tsne,hdbscan,15,medoid,10,1000,0.76,0.48
img2txt,clip,flickr30k,3,20,tsne,hdbscan,15,medoid,10,1000,0.4,0.32
img2txt,clip,flickr30k,5,20,tsne,hdbscan,15,medoid,10,1000,0.4,0.24
